iter,fitness,time,XPL,XPT,DIV
1,11543.0,0.324,48.45,51.55,0.234
2,5230.0,0.835,26.92,73.08,0.13
3,2172.0,1.599,16.15,83.85,0.078
4,1070.0,2.121,9.73,90.27,0.047
5,610.0,2.064,4.55,95.45,0.022
6,465.0,1.962,2.48,97.52,0.012
7,437.0,2.043,1.24,98.76,0.006
8,437.0,2.142,1.24,98.76,0.006
9,437.0,2.832,1.24,98.76,0.006
10,437.0,1.956,1.04,98.96,0.005
11,437.0,2.21,1.24,98.76,0.006
12,434.0,2.052,1.24,98.76,0.006
13,433.0,2.043,1.24,98.76,0.006
14,433.0,2.031,1.45,98.55,0.007
15,433.0,2.56,1.45,98.55,0.007
16,433.0,2.456,1.45,98.55,0.007
17,433.0,2.109,1.24,98.76,0.006
18,433.0,1.932,1.45,98.55,0.007
19,433.0,2.243,1.66,98.34,0.008
20,433.0,2.307,1.45,98.55,0.007
