iter,fitness,time,XPL,XPT,DIV
1,11216.0,0.322,47.2,52.8,0.228
2,5171.0,0.789,26.5,73.5,0.128
3,2541.0,1.724,15.53,84.47,0.075
4,1302.0,2.058,8.9,91.1,0.043
5,785.0,1.736,4.97,95.03,0.024
6,547.0,1.771,3.31,96.69,0.016
7,471.0,1.689,2.69,97.31,0.013
8,442.0,1.728,1.24,98.76,0.006
9,437.0,1.699,1.45,98.55,0.007
10,437.0,1.753,1.45,98.55,0.007
11,437.0,2.106,1.45,98.55,0.007
12,437.0,2.273,1.45,98.55,0.007
13,437.0,1.809,1.45,98.55,0.007
14,437.0,2.201,1.24,98.76,0.006
15,437.0,1.86,1.45,98.55,0.007
16,437.0,1.986,1.45,98.55,0.007
